,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
P,1.0,0.588235294117647,0.8333333333333333,0.588235294117647,0.75,0.6956521739130435,0.6363636363636365,0.8333333333333333,0.7,0.5384615384615384,0.7368421052631577,0.588235294117647,0.6923076923076923,0.8000000000000002,0.6666666666666666,0.75,0.7123541476247088
Q,0.9090909090909091,0.9523809523809523,0.9473684210526316,0.8000000000000002,0.9473684210526316,0.8571428571428572,0.8695652173913044,0.9523809523809523,0.6956521739130435,0.34782608695652173,0.9,0.9523809523809523,0.9473684210526316,0.8235294117647058,0.8181818181818182,1.0,0.8575147871713695
R,0.9565217391304348,1.0,0.888888888888889,0.9523809523809523,0.8421052631578948,0.9,0.9,0.7777777777777778,0.7407407407407406,0.7826086956521738,0.631578947368421,0.8,0.9523809523809523,1.0,0.7999999999999999,0.9473684210526316,0.8670220236581795
S,0.9523809523809523,0.45454545454545453,0.7692307692307692,0.7999999999999999,0.5,0.9090909090909091,0.9,0.761904761904762,0.6666666666666666,0.14285714285714288,0.88,0.625,0.6666666666666666,0.5333333333333333,0.39999999999999997,0.9090909090909091,0.6794229728604728
T,1.0,0.8181818181818182,0.8181818181818182,0.7272727272727272,0.9523809523809523,1.0,0.8421052631578948,0.9090909090909091,0.47058823529411764,0.3636363636363636,0.5714285714285713,0.9090909090909091,0.7777777777777777,0.8571428571428572,0.7826086956521738,0.9,0.7937179311430556
U,0.896551724137931,0.967741935483871,0.7692307692307692,0.8275862068965518,0.8387096774193549,0.9375,0.8571428571428571,0.8571428571428571,0.8148148148148148,0.5499999999999999,0.7857142857142856,0.7586206896551724,0.7878787878787877,0.7894736842105263,0.967741935483871,0.9655172413793104,0.8357104666619348
V,0.9473684210526316,1.0,0.6,0.8695652173913044,0.7368421052631577,0.7499999999999999,0.9090909090909091,0.9523809523809523,0.7,0.5454545454545454,0.9473684210526316,0.8000000000000002,1.0,0.6956521739130435,0.8235294117647058,0.8421052631578948,0.8199598387826111
W,0.9523809523809523,1.0,1.0,0.9,0.9523809523809523,0.5263157894736842,1.0,1.0,0.9090909090909091,0.9473684210526316,0.888888888888889,0.9523809523809523,1.0,0.9523809523809523,0.9090909090909091,0.8421052631578948,0.9207739993924204
X,0.9473684210526316,0.888888888888889,0.888888888888889,0.8181818181818182,0.7826086956521738,0.8000000000000002,0.6923076923076924,0.625,0.8421052631578948,0.35714285714285715,0.9,0.8000000000000002,0.6956521739130435,0.6428571428571429,0.56,0.8571428571428572,0.7561340436991181
Y,0.9523809523809523,1.0,0.8421052631578948,0.9166666666666666,0.9166666666666666,0.8695652173913043,0.8421052631578948,1.0,0.5882352941176471,0.6666666666666666,0.9565217391304348,0.9090909090909091,1.0,0.8333333333333333,0.9166666666666666,0.8421052631578948,0.8782568688490583
Z,0.9090909090909091,0.888888888888889,0.823529411764706,0.56,0.8571428571428572,0.2857142857142857,0.9473684210526316,0.888888888888889,0.47058823529411764,0.3636363636363636,0.8571428571428572,0.7368421052631577,0.8235294117647058,0.7777777777777777,0.47058823529411764,0.9473684210526316,0.7255060668605562
Spc,0.9913043478260869,0.9636363636363636,0.9056603773584905,0.8163265306122448,0.9285714285714285,0.9821428571428572,0.9090909090909091,0.9298245614035088,0.8484848484848484,0.38961038961038963,0.9734513274336283,0.9180327868852458,0.9565217391304347,0.9158878504672898,0.9636363636363636,0.9913043478260869,0.8989679393197609
Bspc,1.0,0.6666666666666667,0.8181818181818181,0.7777777777777777,0.5555555555555556,0.9090909090909091,0.6956521739130435,0.7777777777777777,0.7142857142857143,0.30434782608695654,0.9,0.8235294117647058,0.7777777777777777,0.6666666666666667,0.9090909090909091,1.0,0.7685250615397674
Ent,1.0,0.7272727272727272,0.7407407407407407,0.6956521739130435,0.8571428571428572,1.0,0.8333333333333333,0.9523809523809523,0.7272727272727272,0.14285714285714288,0.9523809523809523,0.5555555555555556,0.9523809523809523,0.9473684210526316,0.9473684210526316,1.0,0.8144816848335156
Act,1.0,0.9473684210526316,0.9523809523809523,0.9473684210526316,0.975609756097561,0.9743589743589743,0.9189189189189189,0.8947368421052632,1.0,0.8108108108108107,0.8947368421052632,0.7272727272727274,0.8947368421052632,1.0,0.9743589743589743,1.0,0.9320411551637482
Nois,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,0.9500000000000001,0.9743589743589743,1.0,1.0,0.9743589743589743,0.9500000000000001,1.0,0.9856528340080971
Ave,0.9369747108735899,0.8543492171538938,0.8390929321577968,0.7932865864284732,0.8071786446316614,0.7809265032582169,0.8317278204723456,0.8763189476686931,0.7050925760384855,0.4729605657003693,0.8527750055767525,0.8045743342943722,0.8477981365328445,0.8192643732011713,0.821311795399676,0.9073855067088926,0.8094386035060773
