,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
A,1.0,0.9375,1.0,0.8947368421052632,0.8387096774193549,0.6896551724137931,0.9375,1.0,0.7500000000000001,0.8275862068965517,0.8749999999999999,0.8095238095238095,0.9696969696969697,0.9411764705882353,0.8571428571428571,0.9189189189189189,0.8904466827941098
B,1.0,1.0,0.9523809523809523,1.0,0.9,0.8695652173913044,0.888888888888889,0.8333333333333333,0.7058823529411764,0.47058823529411764,0.7407407407407407,0.888888888888889,0.9,0.8421052631578948,0.9523809523809523,0.9,0.8652971765873908
C,0.8333333333333333,0.8181818181818182,0.761904761904762,0.608695652173913,0.4444444444444445,0.7200000000000001,0.8235294117647058,0.8181818181818182,0.47619047619047616,0.37837837837837834,0.7777777777777777,0.6363636363636365,0.6923076923076923,0.608695652173913,0.6666666666666666,0.9523809523809523,0.6885645295140178
D,0.888888888888889,0.7368421052631577,0.8421052631578948,0.8181818181818182,0.7272727272727272,0.3636363636363636,0.625,0.8421052631578948,0.6,0.588235294117647,0.761904761904762,0.761904761904762,0.4,0.8000000000000002,0.7777777777777777,0.8181818181818182,0.7095023027153445
E,0.9473684210526315,0.8823529411764706,0.8571428571428571,0.41379310344827586,0.39999999999999997,0.7333333333333334,0.9230769230769231,0.8717948717948718,0.5,0.6285714285714286,0.972972972972973,0.8837209302325582,0.9473684210526315,0.8235294117647058,0.717948717948718,0.9142857142857143,0.7760787529908808
F,0.9523809523809523,0.3157894736842105,0.7777777777777777,0.5925925925925927,0.7777777777777777,0.9,0.75,0.9,0.8235294117647058,0.0,0.9090909090909091,0.9473684210526316,0.7499999999999999,0.9523809523809523,0.7499999999999999,0.9411764705882353,0.7524915461931716
G,0.5714285714285714,0.8235294117647058,0.46153846153846156,0.5714285714285714,0.9473684210526316,0.7058823529411765,0.761904761904762,0.8181818181818182,0.5217391304347826,0.23529411764705882,0.8571428571428572,0.8235294117647058,0.8181818181818182,0.4285714285714285,0.8333333333333333,0.8333333333333333,0.6882742375406262
H,0.9090909090909091,0.8,0.8235294117647058,0.9523809523809523,0.6666666666666665,0.6,0.6666666666666666,0.9473684210526316,0.7200000000000001,0.4210526315789474,0.8000000000000002,0.9,0.9,0.7368421052631577,0.9523809523809523,0.5333333333333333,0.7705820031361827
I,0.962962962962963,0.8852459016393442,0.8518518518518519,0.8571428571428571,0.923076923076923,0.9824561403508771,0.9285714285714286,0.8461538461538461,0.7999999999999999,0.5625000000000001,0.8571428571428571,0.9642857142857143,0.7999999999999999,0.962962962962963,0.8518518518518519,0.9433962264150945,0.8737250952755358
J,1.0,0.8000000000000002,0.6923076923076923,0.8235294117647058,0.5925925925925927,1.0,0.8571428571428572,0.7407407407407407,0.3125,0.22222222222222224,0.75,0.8421052631578948,0.8695652173913044,0.8333333333333333,0.6956521739130435,1.0,0.7519807190353992
K,0.7777777777777777,0.8571428571428572,0.8181818181818182,0.6666666666666665,1.0,0.4285714285714285,0.588235294117647,0.7368421052631577,0.8000000000000002,0.0,0.8181818181818182,0.625,0.8181818181818182,0.6956521739130435,0.8421052631578948,0.8181818181818182,0.7056700524586091
L,0.9,0.9473684210526316,0.8421052631578948,0.5454545454545454,0.588235294117647,0.75,0.6666666666666665,0.8421052631578948,0.28571428571428575,0.5000000000000001,0.7777777777777777,0.761904761904762,0.588235294117647,0.8000000000000002,0.8181818181818182,1.0,0.7258593369564732
M,0.9473684210526316,1.0,1.0,1.0,0.9473684210526316,0.7499999999999999,0.9090909090909091,1.0,0.8181818181818182,0.7058823529411764,1.0,1.0,1.0,1.0,0.9523809523809523,0.9,0.9331420546687574
N,1.0,0.9,1.0,0.9090909090909091,0.9473684210526316,0.5333333333333333,0.8333333333333333,0.9473684210526316,0.9523809523809523,0.8181818181818182,0.8181818181818182,0.3,1.0,0.9473684210526316,1.0,0.9473684210526316,0.8658734905445432
O,0.9411764705882353,0.9696969696969697,0.7333333333333334,0.9411764705882353,0.9285714285714286,0.7857142857142857,0.896551724137931,0.9090909090909091,0.9032258064516129,0.1,0.9696969696969697,0.9411764705882353,0.9032258064516129,0.8148148148148148,0.9333333333333333,0.9142857142857143,0.8490669067089763
