,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
A,0.8799999999999999,0.33333333333333337,0.8799999999999999,0.7272727272727274,0.48000000000000004,0.6428571428571429,0.2857142857142857,0.2,0.41666666666666663,0.2,0.8666666666666666,0.7333333333333334,0.5,0.4444444444444445,0.5555555555555556,0.6153846153846154,0.5475767982017983
B,0.8000000000000002,0.888888888888889,0.761904761904762,0.7058823529411764,0.888888888888889,1.0,0.30769230769230765,0.47058823529411764,0.8421052631578948,0.0,0.28571428571428575,0.7499999999999999,0.7777777777777777,0.5714285714285715,0.7,0.761904761904762,0.6570485059745895
C,0.5,0.6956521739130435,0.15384615384615383,0.13793103448275862,0.588235294117647,0.0,0.07692307692307693,0.23529411764705882,0.35294117647058826,0.13333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.20000000000000004,0.4210526315789474,0.5714285714285714,0.3479148477338237
D,0.5454545454545454,0.6666666666666666,0.4615384615384615,0.30769230769230765,0.16666666666666669,0.6666666666666666,0.18181818181818182,0.5714285714285715,0.6666666666666666,0.0,0.15384615384615383,0.588235294117647,0.0,0.18181818181818182,0.4,0.3529411764705882,0.36946497130320655
E,0.5,0.6666666666666666,0.4,0.28571428571428575,0.761904761904762,0.3157894736842105,0.28571428571428575,0.0,0.5263157894736842,0.13333333333333333,0.7692307692307692,0.6666666666666666,0.375,0.5882352941176471,0.4,0.6896551724137931,0.4602641561825065
F,0.33333333333333337,0.14285714285714288,0.3333333333333333,0.4,0.5,0.28571428571428575,0.0,0.16666666666666666,0.3333333333333333,0.0,0.7368421052631577,0.6666666666666667,0.42857142857142855,0.5714285714285714,0.38461538461538464,0.625,0.3692726407364566
G,0.30769230769230765,0.5,0.30769230769230765,0.4285714285714285,0.588235294117647,0.2857142857142857,0.28571428571428564,0.15384615384615383,0.2857142857142857,0.1818181818181818,0.7368421052631577,0.56,0.26666666666666666,0.45454545454545453,0.4,0.588235294117647,0.39570550321711306
H,0.7,0.0,0.6666666666666665,0.4285714285714285,0.5384615384615384,0.5714285714285713,0.28571428571428575,0.4,0.25,0.0,0.6,0.5,0.26666666666666666,0.15384615384615383,0.6956521739130435,0.9,0.43481296782927215
I,0.846153846153846,0.5789473684210527,0.6153846153846153,0.6315789473684211,0.7741935483870969,0.7368421052631579,0.23529411764705882,0.5,0.7272727272727272,0.3,0.7333333333333333,0.8235294117647058,0.47826086956521735,0.7692307692307692,0.8148148148148148,0.689655172413793,0.6409057279387881
J,0.9090909090909091,0.41379310344827586,0.5384615384615384,0.5625000000000001,0.6,0.7,0.28571428571428575,0.28571428571428564,0.5454545454545454,0.0,0.761904761904762,0.8181818181818182,0.6956521739130435,0.12903225806451613,0.5294117647058825,0.5,0.5171819652908664
K,0.4615384615384615,0.47058823529411764,0.46153846153846156,0.7499999999999999,0.5,0.6956521739130435,0.25,0.0,0.10526315789473685,0.0,0.6363636363636364,0.631578947368421,0.20000000000000004,0.4444444444444445,0.75,0.5714285714285713,0.4330247556114934
L,0.761904761904762,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.5263157894736842,0.4210526315789474,0.5,0.47058823529411764,0.13333333333333333,0.11764705882352941,0.588235294117647,0.15384615384615383,0.2727272727272727,0.7058823529411764,0.37499999999999994,0.6666666666666666,0.464158305252539
M,0.7499999999999999,0.30769230769230765,0.9473684210526316,0.7058823529411764,0.8235294117647058,0.8421052631578948,0.16666666666666669,0.631578947368421,0.6666666666666666,0.33333333333333337,1.0,1.0,0.888888888888889,0.5714285714285715,0.8235294117647058,0.5714285714285715,0.6893811758846589
N,1.0,0.6956521739130435,0.6,0.4615384615384615,0.5263157894736842,0.7368421052631577,0.125,0.6666666666666665,0.4615384615384615,0.45454545454545453,0.7,0.7368421052631577,0.6666666666666666,0.5714285714285715,0.7499999999999999,0.5333333333333333,0.6053981118519162
