,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
O,0.7000000000000001,0.5714285714285715,0.5833333333333334,0.6666666666666666,0.5333333333333333,0.42857142857142855,0.6666666666666665,0.380952380952381,0.8181818181818182,0.26666666666666666,0.761904761904762,0.7368421052631579,0.2857142857142857,0.15384615384615385,0.75,0.7058823529411764,0.5631244078419001
P,0.7826086956521738,0.5,0.5517241379310345,0.2608695652173913,0.45161290322580644,0.8421052631578948,0.14285714285714285,0.13333333333333333,0.47619047619047616,0.0,0.5217391304347827,0.7000000000000001,0.4615384615384615,0.3225806451612903,0.5806451612903225,0.5333333333333333,0.4538211405827153
Q,0.7499999999999999,0.4,0.888888888888889,0.5263157894736842,0.4285714285714285,0.7,0.0,0.16666666666666669,0.8235294117647058,0.0,0.9,0.7499999999999999,0.2857142857142857,0.5714285714285715,0.7142857142857143,0.8421052631578948,0.54671912624699
R,1.0,0.6,0.8000000000000002,0.625,0.7058823529411765,0.761904761904762,0.5333333333333333,0.125,0.47058823529411764,0.34782608695652173,0.5555555555555556,0.9,0.6666666666666666,0.625,0.18181818181818182,0.5333333333333333,0.589494281737728
S,0.5806451612903226,0.37499999999999994,0.33333333333333337,0.588235294117647,0.7999999999999999,0.5263157894736842,0.15384615384615383,0.16666666666666666,0.4799999999999999,0.1111111111111111,0.4615384615384615,0.846153846153846,0.28571428571428564,0.12500000000000003,0.4864864864864865,0.7692307692307692,0.44307983493517294
T,0.9090909090909091,0.7999999999999999,0.2857142857142857,0.5000000000000001,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.47619047619047616,0.7058823529411765,0.26666666666666666,0.7826086956521738,0.380952380952381,0.47619047619047616,0.6363636363636364,0.6666666666666666,0.4,0.5537663364700989
U,0.896551724137931,0.16666666666666669,0.6666666666666667,0.7096774193548387,0.4,0.8275862068965517,0.09523809523809525,0.20689655172413793,0.26666666666666666,0.14285714285714288,0.6,0.13333333333333336,0.2222222222222222,0.3,0.2222222222222222,0.631578947368421,0.4055102415846811
V,0.41666666666666663,0.4210526315789474,0.23529411764705882,0.6153846153846154,0.4000000000000001,0.5517241379310345,0.4210526315789474,0.09523809523809525,0.23529411764705882,0.09523809523809525,0.4210526315789474,0.33333333333333326,0.0909090909090909,0.28571428571428575,0.26666666666666666,0.5333333333333333,0.338622153152886
W,0.5384615384615384,0.5,0.8181818181818182,0.888888888888889,0.5714285714285715,0.588235294117647,0.6666666666666666,0.7368421052631577,0.4,0.13333333333333333,0.625,0.5,0.30769230769230765,0.625,0.7058823529411764,0.7272727272727272,0.5833053502654896
X,0.7058823529411764,0.8181818181818182,0.4285714285714285,0.38461538461538464,0.4,0.0,0.5714285714285714,0.0909090909090909,0.8421052631578948,0.0,0.7777777777777777,0.4,0.7368421052631577,0.6666666666666666,0.5217391304347826,0.6666666666666666,0.5007116410384009
Y,0.9523809523809523,0.8421052631578948,0.588235294117647,0.8421052631578948,0.8888888888888888,0.4210526315789474,0.16666666666666669,0.4615384615384615,0.6153846153846154,0.14285714285714285,0.625,0.8421052631578948,0.5555555555555556,0.7499999999999999,0.9473684210526316,0.9523809523809523,0.6621015857422592
Z,0.6956521739130435,0.7058823529411764,0.2,0.47058823529411764,0.4444444444444445,0.28571428571428575,0.0,0.37499999999999994,0.15384615384615385,0.2962962962962963,0.5,0.608695652173913,0.5263157894736842,0.23529411764705882,0.6666666666666665,0.588235294117647,0.4220394664080305
Spc,0.6813186813186813,0.6739130434782609,0.2535211267605634,0.6666666666666665,0.43902439024390244,0.9074074074074073,0.5714285714285714,0.20588235294117643,0.6796116504854369,0.25882352941176473,0.8210526315789474,0.6451612903225806,0.5858585858585857,0.30136986301369867,0.3943661971830986,0.7956989247311828,0.5550690570519078
Bspc,0.4736842105263158,0.1702127659574468,0.24,0.3174603174603175,0.2647058823529411,0.22222222222222224,0.18947368421052632,0.14953271028037382,0.2545454545454546,0.09345794392523366,0.5128205128205129,0.4102564102564103,0.4878048780487805,0.1142857142857143,0.21874999999999994,0.4390243902439024,0.2848898185710095
Ent,0.7407407407407407,0.29411764705882354,0.5833333333333334,0.4347826086956522,0.48275862068965514,0.608695652173913,0.16666666666666666,0.2631578947368421,0.608695652173913,0.11320754716981132,0.9090909090909091,0.56,0.6206896551724138,0.6153846153846154,0.6666666666666666,0.7272727272727272,0.5247038085641678
Act,0.9500000000000001,0.8571428571428572,0.9523809523809523,0.9,0.9302325581395349,0.9189189189189189,0.7999999999999999,0.9268292682926829,0.9,0.2941176470588235,0.85,0.8947368421052632,0.6874999999999999,0.7777777777777777,0.8333333333333334,0.9500000000000001,0.838935634696884
Nois,0.975609756097561,0.8163265306122449,0.7142857142857143,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.7407407407407407,0.6666666666666667,0.8695652173913044,0.5671641791044776,1.0,0.851063829787234,0.9047619047619048,0.7547169811320755,0.9500000000000001,0.9302325581395349,0.8458024061456785
Ave,0.7111116686576187,0.5292290820204059,0.5414365318031717,0.5661109568108245,0.581516354222343,0.5727317611865461,0.3123982954877792,0.3348282129460086,0.5133341664294961,0.16076238980129853,0.6729286079452603,0.6329520865821908,0.4625129774604235,0.45863298927705215,0.5733288904729983,0.6568594671133715,0.5175421523885493
