,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
A,0.8500000000000001,1.0,0.9767441860465117,0.9047619047619048,0.975609756097561,0.6470588235294118,0.8936170212765957,1.0,0.7894736842105262,0.8108108108108107,0.8648648648648648,0.8750000000000001,1.0,0.9,0.9130434782608696,0.8947368421052632,0.89348258574777
B,1.0,1.0,1.0,0.888888888888889,0.9090909090909091,0.9090909090909091,0.888888888888889,0.9473684210526316,1.0,0.9,1.0,0.9473684210526316,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9473684210526316,0.9291377117035012
C,0.6666666666666666,0.8695652173913044,0.8695652173913044,0.7272727272727272,0.625,1.0,0.7058823529411764,0.9,0.8181818181818182,0.6956521739130435,0.8235294117647058,0.8421052631578948,0.47058823529411764,0.7142857142857143,0.631578947368421,0.6666666666666666,0.7516587757684726
D,0.7692307692307692,0.625,1.0,0.6,0.9,0.6666666666666665,0.6666666666666665,0.7777777777777778,0.9523809523809523,0.13333333333333333,0.761904761904762,0.6956521739130435,0.5555555555555556,0.631578947368421,0.7999999999999999,0.88,0.7134842252998719
E,0.9090909090909091,0.6470588235294118,0.9268292682926829,0.9047619047619048,0.8571428571428572,0.8372093023255814,0.9767441860465117,0.9302325581395349,0.8181818181818182,0.7555555555555555,0.9523809523809523,0.7804878048780488,0.9090909090909091,0.8205128205128205,0.8421052631578948,0.7894736842105263,0.85355366358112
F,0.9473684210526316,0.5714285714285715,0.75,0.9473684210526316,1.0,0.8000000000000002,0.7777777777777777,1.0,1.0,0.125,0.7,0.9090909090909091,0.8235294117647058,0.6363636363636365,0.5714285714285715,0.9,0.7787097324974647
G,0.5,0.6666666666666665,0.7777777777777778,0.6666666666666666,1.0,0.588235294117647,0.5555555555555556,0.8421052631578948,0.608695652173913,0.09999999999999999,0.8181818181818182,0.9090909090909091,0.8333333333333333,0.9473684210526316,0.9,0.8571428571428572,0.7231762634323544
H,0.9,0.761904761904762,0.7826086956521738,0.8695652173913044,0.7777777777777777,0.8000000000000002,0.7368421052631577,0.888888888888889,0.8695652173913044,0.7058823529411765,0.9473684210526316,1.0,1.0,0.8333333333333333,0.9523809523809523,0.7777777777777777,0.8502434688597027
I,1.0,0.8444444444444444,0.975609756097561,1.0,0.8636363636363635,1.0,0.8717948717948718,0.975609756097561,0.7804878048780488,0.7567567567567567,0.9047619047619048,0.9523809523809523,0.9230769230769231,0.9,0.8260869565217392,0.9743589743589743,0.9093128415503813
J,1.0,0.6086956521739131,0.8750000000000001,0.42857142857142855,0.72,0.9411764705882353,0.8421052631578948,1.0,0.8421052631578948,0.0,0.8571428571428571,0.8888888888888888,0.9,0.7368421052631577,0.8571428571428571,0.8750000000000001,0.7732919241304456
K,0.46153846153846156,0.8888888888888888,0.5882352941176471,0.7999999999999999,0.9473684210526316,0.7777777777777778,0.7999999999999999,0.8421052631578948,0.5833333333333334,0.15384615384615385,0.7368421052631577,0.823529411764706,0.761904761904762,1.0,0.8571428571428571,0.7999999999999999,0.7389070456117671
L,0.9565217391304348,0.8799999999999999,0.7826086956521738,0.75,0.761904761904762,0.6956521739130435,0.7272727272727272,0.8695652173913043,0.6666666666666666,0.631578947368421,0.8461538461538461,0.7000000000000001,0.923076923076923,0.7368421052631579,0.9600000000000001,0.9600000000000001,0.8029902377370914
M,0.9473684210526316,1.0,1.0,1.0,0.9473684210526316,0.9,0.8181818181818182,1.0,0.9473684210526316,0.888888888888889,0.9090909090909091,1.0,1.0,0.888888888888889,1.0,0.9473684210526316,0.9496577618288146
N,0.9523809523809523,1.0,1.0,0.9473684210526316,1.0,0.7,0.9523809523809523,1.0,0.8235294117647058,0.7,1.0,0.7499999999999999,1.0,0.7777777777777777,0.9090909090909091,0.9473684210526316,0.9037435528437849
O,0.8648648648648648,0.8888888888888888,0.8275862068965517,0.8888888888888888,0.9090909090909091,0.7500000000000001,0.85,0.9696969696969697,0.9714285714285714,0.6470588235294118,0.8823529411764706,1.0,0.8275862068965517,0.8387096774193549,0.9714285714285714,0.8888888888888888,0.8735294005684309
P,0.761904761904762,0.7407407407407406,1.0,0.6363636363636364,0.846153846153846,0.9166666666666666,0.5000000000000001,0.7586206896551725,0.9090909090909091,0.26666666666666666,0.7272727272727273,0.8333333333333333,0.7096774193548387,0.6666666666666665,0.6956521739130435,0.7368421052631579,0.7316032714403854
