,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
Q,0.9090909090909091,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9090909090909091,0.8235294117647058,0.631578947368421,0.9090909090909091,0.8571428571428572,0.6923076923076923,0.888888888888889,0.7499999999999999,0.9,0.8181818181818182,0.9473684210526316,0.888888888888889,0.8604540572516579
R,0.888888888888889,0.9600000000000001,1.0,0.923076923076923,0.9090909090909091,1.0,0.888888888888889,0.9565217391304348,0.8181818181818182,0.7272727272727272,0.8,0.8461538461538461,0.7826086956521738,0.9090909090909091,0.7096774193548387,0.8695652173913043,0.8743136238858539
S,0.9166666666666666,0.5454545454545455,0.8421052631578948,0.7368421052631579,0.7407407407407406,0.9523809523809523,0.9565217391304348,0.8333333333333333,0.9523809523809523,0.16666666666666669,0.9565217391304348,0.7999999999999999,0.5714285714285714,0.8333333333333333,0.7058823529411764,0.7000000000000001,0.7631411851255538
T,0.888888888888889,0.9285714285714286,0.8666666666666666,0.8666666666666666,1.0,0.9230769230769231,0.8571428571428571,1.0,0.88,0.4,0.888888888888889,0.923076923076923,0.9285714285714286,0.782608695652174,0.9032258064516129,0.9333333333333333,0.873169906686737
U,1.0,0.896551724137931,0.8484848484848485,0.8571428571428572,1.0,0.9032258064516129,0.8666666666666666,0.967741935483871,0.9285714285714286,0.4444444444444444,0.967741935483871,0.7999999999999999,0.9411764705882353,0.7647058823529411,0.9032258064516129,0.8823529411764706,0.8732520467147995
V,0.75,0.888888888888889,0.9090909090909091,0.9523809523809523,0.7777777777777777,0.761904761904762,0.8421052631578948,0.9523809523809523,0.7692307692307693,0.6666666666666667,0.8,0.9473684210526316,0.8421052631578948,0.9,0.7,0.9523809523809523,0.8382675986294408
W,0.9090909090909091,0.9,0.9523809523809523,1.0,0.8000000000000002,0.8571428571428572,1.0,0.9523809523809523,0.8695652173913044,0.5517241379310346,1.0,0.888888888888889,1.0,1.0,0.9523809523809523,0.7058823529411764,0.8962148262830641
X,0.8235294117647058,0.888888888888889,1.0,0.8421052631578948,0.888888888888889,0.75,0.7058823529411765,0.6666666666666666,0.8421052631578948,0.5,0.9523809523809523,0.7058823529411764,0.6666666666666666,0.6666666666666666,0.8421052631578948,0.8695652173913044,0.7882083659169236
Y,0.8695652173913043,0.9565217391304348,0.9600000000000001,1.0,0.923076923076923,0.9600000000000001,1.0,0.9600000000000001,0.888888888888889,0.8,0.9600000000000001,0.9565217391304348,0.8,0.9166666666666666,1.0,0.8799999999999999,0.926952573392791
Z,0.5714285714285714,0.8421052631578948,0.9090909090909091,0.7368421052631577,0.625,0.8695652173913044,0.8571428571428571,0.8333333333333333,0.5714285714285715,0.380952380952381,0.7368421052631577,0.8181818181818182,0.888888888888889,0.7142857142857143,0.7777777777777777,0.8000000000000002,0.745804094599146
Spc,0.8545454545454544,0.9666666666666666,0.9763779527559054,0.9838709677419355,0.96,0.9606299212598426,0.976,0.9682539682539683,0.9365079365079365,0.8130081300813008,0.9516129032258065,0.9538461538461539,0.991869918699187,0.9672131147540983,0.9310344827586207,0.967741935483871,0.9474487191612968
Bspc,0.9,0.6060606060606061,0.8235294117647058,0.9,0.7499999999999999,0.8181818181818182,0.8421052631578948,0.9523809523809523,0.888888888888889,0.5217391304347826,0.8571428571428572,1.0,0.9523809523809523,0.761904761904762,0.4347826086956522,0.6666666666666666,0.7922352448537838
Ent,0.7499999999999999,0.888888888888889,0.9523809523809523,0.9,0.9523809523809523,0.8695652173913044,0.8000000000000002,0.9473684210526316,0.6666666666666666,0.46153846153846156,1.0,0.9523809523809523,1.0,1.0,0.8,0.9473684210526316,0.8680336833583402
Act,1.0,0.787878787878788,0.9743589743589743,1.0,1.0,0.9473684210526316,1.0,0.888888888888889,1.0,0.787878787878788,0.9743589743589743,1.0,0.9743589743589743,0.975609756097561,1.0,1.0,0.9569188478045987
Nois,0.9743589743589743,1.0,0.975609756097561,1.0,0.975609756097561,0.975609756097561,0.975609756097561,1.0,1.0,0.9743589743589743,0.975609756097561,1.0,1.0,1.0,0.9189189189189189,0.9473684210526316,0.9808158793235816
Ave,0.854612576097689,0.8386170485430704,0.9054841972647515,0.8582830441102834,0.8790903509724165,0.8484424241539423,0.8310759606096532,0.9190423502384685,0.8467757671719701,0.5535351181981981,0.8852205329636454,0.8790073923614238,0.8640827877042744,0.8384457537278438,0.8348428391756465,0.8662615292687497,0.8439262295351267
